Location, State, Average Revenue Dollars Per MWh Solar, Average Storage Level
Sydney, nsw, 161.957571729, 0.269852136224
Adelaide, sa, 211.998123399, 0.426731837712
Melbourne, vic, 153.814195661, 0.30505815621
