Location, State, Average Revenue Dollars Per MWh Solar, Average Storage Level
Sydney, nsw, 82.3035587411, 0.028937255065
Adelaide, sa, 81.7927528465, 0.033307521212
Melbourne, vic, 82.2905657302, 0.0205842275681
Uni of Qld, qld, 80.7284612259, 0.0275449867632
