Location, State, Average Revenue Dollars Per MWh Solar, Average Storage Level
Sydney, nsw, 84.3915577926, 0.355726301881
Adelaide, sa, 83.991054934, 0.427339578132
Melbourne, vic, 84.1836523433, 0.413176725355
Uni of Qld, qld, 82.9656929119, 0.423073331677
