Location, Average Revenue Dollars Per MWh Solar, Average Storage Level
nsw, 84.3915577926, 0.355726301881
qld, 82.9656929119, 0.423073331677
vic, 84.1836523433, 0.413176725355
sa, 83.991054934, 0.427339578132
